2024_04_10_21_48_33,0.0,0.0
2024_04_10_21_48_50,0.0,0.0
2024_04_10_22_09_58,inf,inf
2024_04_10_22_09_58,inf,inf
2024_04_10_22_22_43,2.58964313641e+11,0.e+00
2024_04_10_22_22_43,inf,inf
2024_04_11_01_06_40,0.0,0.0
2024_04_11_01_27_36,inf,inf
2024_04_11_01_27_36,inf,inf
2024_04_11_01_27_36,inf,inf
2024_04_11_01_27_36,inf,inf
2024_04_11_01_39_01,1.69420315979e+11,0.e+00
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
2024_04_11_01_39_02,inf,inf
