Task Name,A53,IP0
souurce,0,
gaussianSmoothing_4,1617100800,331284480
laplacianEstimate_4,421068800,198574080
computeZeroCrossings_4,437452800,198574080
computeGradient_4,427622400,189071360
computeMaxGradientLeaf_4,14749184,3301888
rejectZeroCrossings_4,376832000,177602560
siink,0,
