Task Name,A53,IP0,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8
souurce,0,,,,,,,,,
gaussianSmoothing_4,,233984,467968,935936,1871872,3743744,7487488,14974976,29949952,59899904
laplacianEstimate_4,,224815,449630,899260,1798520,3597040,7194080,14388160,28776320,57552640
computeZeroCrossings_4,,218329,436658,873316,1746632,3493264,6986528,13973056,27946112,55892224
computeGradient_4,,447176,894352,1788704,3577408,7154816,14309632,28619264,57238528,114477056
computeMaxGradientLeaf_4,,9859,19718,39436,78872,157744,315488,630976,1261952,2523904
rejectZeroCrossings_4,,17818,35636,71272,142544,285088,570176,1140352,2280704,4561408
siink,0,,,,,,,,,
