Task Name,souurce,gaussianSmoothing_2,laplacianEstimate_2,computeZeroCrossings_2,computeGradient_2,computeMaxGradientLeaf_2,rejectZeroCrossings_2,siink
souurce,,13107396,,,,,,
gaussianSmoothing_2,,,6553600,,6553600,,,
laplacianEstimate_2,,,,6553600,,,,
computeZeroCrossings_2,,,,,,,6553600,
computeGradient_2,,,,,,6553600,,
computeMaxGradientLeaf_2,,,,,,,4,
rejectZeroCrossings_2,,,,,,,,6553600
siink,,,,,,,,
