Task Name,souurce,gaussianSmoothing_3,laplacianEstimate_3,computeZeroCrossings_3,computeGradient_3,computeMaxGradientLeaf_3,rejectZeroCrossings_3,siink
souurce,,13107396,,,,,,
gaussianSmoothing_3,,,6553600,,6553600,,,
laplacianEstimate_3,,,,6553600,,,,
computeZeroCrossings_3,,,,,,,6553600,
computeGradient_3,,,,,,6553600,,
computeMaxGradientLeaf_3,,,,,,,4,
rejectZeroCrossings_3,,,,,,,,6553600
siink,,,,,,,,
