Task Name,souurce,gaussianSmoothing_4,laplacianEstimate_4,computeZeroCrossings_4,computeGradient_4,computeMaxGradientLeaf_4,rejectZeroCrossings_4,siink
souurce,,13107396,,,,,,
gaussianSmoothing_4,,,6553600,,6553600,,,
laplacianEstimate_4,,,,6553600,,,,
computeZeroCrossings_4,,,,,,,6553600,
computeGradient_4,,,,,,6553600,,
computeMaxGradientLeaf_4,,,,,,,4,
rejectZeroCrossings_4,,,,,,,,6553600
siink,,,,,,,,
