2024_03_12_23_09_33,
2024_03_12_23_10_54,0.70710677
2024_03_12_23_11_28,7.922433e-12
2024_03_12_23_12_36,
2024_03_12_23_13_59,0.70710677
2024_03_12_23_14_10,0.70710677
2024_03_12_23_14_27,0.70710677
2024_03_12_23_15_50,7.549996e-11
2024_03_12_23_16_16,0.70710677
2024_03_12_23_16_22,0.70710677
2024_03_12_23_16_57,0.70710677
2024_03_12_23_17_24,0.70710677
2024_03_12_23_19_04,
2024_03_12_23_20_13,7.460588e-12
2024_03_12_23_20_53,1.5162796e-11
2024_03_12_23_21_23,1.2712685e-11
2024_03_12_23_21_51,7.382844e-12
2024_03_12_23_23_44,
2024_03_12_23_24_14,
2024_03_12_23_25_59,0.70710677
2024_03_12_23_27_09,0.70710677
2024_03_12_23_27_37,0.70710677
2024_03_12_23_28_21,0.70710677
2024_03_12_23_29_03,0.70710677
2024_03_12_23_29_55,
2024_03_12_23_32_20,0.70710677
2024_03_12_23_32_45,0.70710677
2024_03_12_23_32_58,
2024_03_12_23_34_16,1.3778274e-11
2024_03_12_23_35_43,
2024_03_12_23_38_39,2.967035e-11
2024_03_12_23_39_08,1.2712685e-11
2024_03_17_20_24_52,
2024_03_17_20_25_00,
2024_03_17_20_26_06,
2024_03_17_20_28_04,7.375372e-12
2024_03_17_20_28_46,
2024_03_17_20_30_39,2.0480716e-11
2024_03_17_20_32_01,2.967035e-11
2024_03_17_20_32_50,1.4722229e-11
2024_03_17_20_33_20,1.2712685e-11
2024_03_17_20_33_45,2.5034193e-11
2024_03_17_20_34_11,2.57313e-11
2024_03_17_20_34_39,7.382844e-12
2024_03_17_20_35_23,7.577787e-12
2024_03_17_20_36_05,1.4747474e-11
2024_03_17_20_37_55,1.523593e-11
2024_03_17_20_38_45,2.4717905e-11
2024_03_17_20_39_29,3.7816365e-12
2024_03_17_20_39_55,2.57313e-11
2024_03_17_20_41_37,1.4574054e-11
2024_03_17_20_42_21,7.577787e-12
2024_03_17_20_42_48,3.793358e-12
2024_03_17_20_43_30,1.4747474e-11
2024_03_17_20_45_54,7.538691e-12
2024_03_17_20_46_18,2.5374659e-11
2024_03_17_20_48_19,7.601998e-12
2024_03_17_20_48_58,1.5162796e-11
2024_03_17_20_49_27,7.382844e-12
2024_03_17_20_49_50,1.5340963e-11
2024_03_17_20_52_07,2.7747723e-11
2024_03_17_20_52_38,1.2688264e-11
2024_03_17_20_53_05,3.793358e-12
2024_03_17_20_53_52,2.8081563e-11
2024_03_17_20_55_34,7.542275e-12
2024_03_17_23_20_23,3.579739e-11
2024_03_17_23_55_14,
2024_03_17_23_57_21,1.5058834e-11
2024_03_17_23_58_01,7.585605e-12
2024_03_18_00_00_12,4.8130357e-11
2024_03_18_00_01_03,2.4717905e-11
2024_03_18_00_03_11,2.9497266e-11
2024_03_18_00_03_47,1.5257183e-11
2024_03_18_00_05_52,
2024_03_18_00_07_43,2.57313e-11
2024_03_18_00_09_26,1.4574054e-11
2024_03_18_00_09_56,7.375372e-12
2024_03_18_00_10_18,1.5405585e-11
2024_03_18_00_11_06,1.4722229e-11
2024_03_18_00_13_20,
2024_03_18_00_15_24,2.8179186e-11
2024_03_18_00_15_53,1.2712685e-11
2024_03_18_00_18_00,2.9497266e-11
2024_03_18_00_18_24,2.5374659e-11
2024_03_18_00_18_39,
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_19_02,-inf
2024_03_18_00_20_49,
2024_03_18_00_23_39,
2024_03_18_00_25_03,2.4793648e-11
2024_03_18_00_25_31,7.382844e-12
2024_03_18_00_26_10,2.8179186e-11
2024_03_18_00_27_39,1.5058834e-11
2024_03_18_00_27_54,
2024_03_18_00_29_12,1.3778274e-11
2024_03_18_00_30_43,1.5058834e-11
2024_03_18_00_31_32,2.4717905e-11
2024_03_18_00_31_58,1.4379796e-11
2024_03_18_00_32_37,2.8179186e-11
2024_03_18_00_33_20,3.7816365e-12
2024_03_18_00_34_07,2.8081563e-11
2024_03_18_00_34_21,
2024_03_18_00_35_40,-inf
2024_03_18_00_35_40,-inf
2024_03_18_00_35_40,-inf
2024_03_18_00_35_40,-inf
2024_03_18_00_36_02,2.2954487e-11
2024_03_18_00_36_28,2.5034193e-11
2024_03_18_00_36_53,2.5034193e-11
2024_03_18_00_37_19,2.5034193e-11
2024_03_18_00_37_19,-inf
2024_03_18_00_37_44,2.5034193e-11
2024_03_18_00_38_09,2.5034193e-11
2024_03_18_00_38_32,2.2954487e-11
2024_03_18_00_38_57,2.5034193e-11
2024_03_18_00_38_57,-inf
2024_03_18_00_39_20,2.2954487e-11
2024_03_18_00_39_43,2.2954487e-11
2024_03_18_00_39_43,-inf
2024_03_18_00_39_43,-inf
2024_03_18_00_39_43,-inf
2024_03_18_11_08_52,
2024_03_18_11_09_13,-inf
2024_03_18_11_09_39,2.5034193e-11
2024_03_18_11_10_05,2.5034193e-11
2024_03_18_11_10_05,-inf
2024_03_18_11_10_05,-inf
2024_03_18_11_10_05,-inf
2024_03_18_11_10_27,2.2954487e-11
2024_03_18_11_10_45,
2024_03_18_11_11_06,-inf
2024_03_18_11_11_29,2.2954487e-11
2024_03_18_11_11_29,-inf
2024_03_18_11_11_29,-inf
2024_03_18_11_11_29,-inf
