2024_03_12_23_16_57,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [64], 'bandwidth': [50.0], 'latency': [500.0]}","{'num_npus': 64, 'dp': 2, 'sp': 64, 'pp': 4, 'weight_sharded': 0}"
2024_03_12_23_17_24,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [64], 'bandwidth': [50.0], 'latency': [500.0]}","{'num_npus': 64, 'dp': 16, 'sp': 64, 'pp': 2, 'weight_sharded': 0}"
2024_03_12_23_19_04,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [64], 'bandwidth': [50.0], 'latency': [500.0]}","{'num_npus': 64, 'dp': 4, 'sp': 1, 'pp': 2, 'weight_sharded': 1}"
2024_03_12_23_20_13,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [64], 'bandwidth': [50.0], 'latency': [500.0]}","{'num_npus': 64, 'dp': 1, 'sp': 2, 'pp': 2, 'weight_sharded': 0}"
2024_03_12_23_20_53,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [64], 'bandwidth': [50.0], 'latency': [500.0]}","{'num_npus': 64, 'dp': 4, 'sp': 1, 'pp': 2, 'weight_sharded': 1}"
2024_03_12_23_21_23,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [64], 'bandwidth': [50.0], 'latency': [500.0]}","{'num_npus': 64, 'dp': 1, 'sp': 4, 'pp': 4, 'weight_sharded': 0}"
2024_03_12_23_21_51,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [64], 'bandwidth': [50.0], 'latency': [500.0]}","{'num_npus': 64, 'dp': 1, 'sp': 2, 'pp': 4, 'weight_sharded': 0}"
2024_03_12_23_23_44,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [64], 'bandwidth': [50.0], 'latency': [500.0], 'dimensions-count': 1}","{'num_npus': 64, 'dp': 4, 'sp': 4, 'pp': 1, 'weight_sharded': 0}"
2024_03_12_23_24_14,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [2], 'bandwidth': [50.0], 'latency': [500.0], 'dimensions-count': 2}","{'num_npus': 64, 'dp': 4, 'sp': 2, 'pp': 1, 'weight_sharded': 0}"
2024_03_12_23_25_59,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct', 'direct'], 'all-gather-implementation': ['direct', 'direct'], 'reduce-scatter-implementation': ['direct', 'direct'], 'all-to-all-implementation': ['direct', 'direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected', 'FullyConnected'], 'npus-count': [2, 2], 'bandwidth': [50.0, 50.0], 'latency': [500.0, 500.0], 'dimensions-count': 2}","{'num_npus': 64, 'dp': 4, 'sp': 1, 'pp': 4, 'weight_sharded': 0}"
2024_03_12_23_27_09,"{'scheduling-policy': 'LIFO', 'endpoint-delay': 10, 'active-chunks-per-dimension': 1, 'preferred-dataset-splits': 4, 'all-reduce-implementation': ['direct'], 'all-gather-implementation': ['direct'], 'reduce-scatter-implementation': ['direct'], 'all-to-all-implementation': ['direct'], 'collective-optimization': 'localBWAware', 'boost-mode': 0, 'roofline-enabled': 1, 'peak-perf': 300, 'local-mem-bw': 900}","{'topology': ['FullyConnected'], 'npus-count': [2], 'bandwidth': [50.0], 'latency': [500.0], 'dimensions-count': 1}","{'num_npus': 64, 'dp': 4, 'sp': 1, 'pp': 1, 'weight_sharded': 1}"
