2024_04_12_14_29_02,0.0,0.0
2024_04_12_14_30_27,inf,inf
2024_04_12_14_30_27,inf,inf
2024_04_12_14_30_30,0.e+00,0.e+00
2024_04_12_14_30_30,inf,inf
2024_04_12_14_30_30,inf,inf
2024_04_12_14_30_30,inf,inf
2024_04_12_14_30_30,inf,inf
2024_04_12_14_30_30,inf,inf
2024_04_12_14_30_30,inf,inf
2024_04_12_14_30_30,inf,inf
2024_04_12_14_30_30,inf,inf
2024_04_12_14_30_33,0.e+00,0.e+00
2024_04_12_14_30_33,inf,inf
2024_04_12_14_30_36,0.e+00,0.e+00
2024_04_12_14_30_36,inf,inf
2024_04_12_14_30_36,inf,inf
2024_04_12_14_30_36,inf,inf
2024_04_12_14_30_36,inf,inf
2024_04_12_14_30_36,inf,inf
2024_04_12_14_30_36,inf,inf
2024_04_12_14_30_38,0.e+00,0.e+00
2024_04_12_14_30_41,0.e+00,0.e+00
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
2024_04_12_14_30_41,inf,inf
