observation-1,observation-2,observation-3,observation-4,observation-5
32153236.245,1.5,0.005,0.005,29408523.535
38426961.935,1.5,0.005,0.005,35682249.225
14884246.32,1.5,0.005,0.005,12139533.61
7738032.999,1.5,0.005,0.005,4993320.289
8411644.825,1.5,0.005,0.005,5666932.115
8176538.12,1.5,0.005,0.005,5431825.41
6076749.709,1.5,0.005,0.005,3332036.999
6090726.945,1.5,0.005,0.005,3346014.235
11995251.396,1.5,0.005,0.005,9250538.686
7156192.245,1.5,0.005,0.005,4411479.535
13640380.288,1.5,0.005,0.005,10895667.578
4104969.97,1.5,0.005,0.005,1360257.26
43029546.767,1.5,0.005,0.005,40284834.057
8923318.134,1.5,0.005,0.005,6178605.424
73815141.11,1.5,0.005,0.005,71070428.4
6126114.815,1.5,0.005,0.005,3381402.105
4084684.145,1.5,0.005,0.005,1339971.435
39713816.95,1.5,0.005,0.005,36969104.24
15062549.66,1.5,0.005,0.005,12317836.95
4297210.45,1.5,0.005,0.005,1552497.74
30206515.702,1.5,0.005,0.005,27461802.992
18605862.904,1.5,0.005,0.005,15861150.194
18943979.67,1.5,0.005,0.005,16199266.96
17271458.465,1.5,0.005,0.005,14526745.755
11065023.139,1.5,0.005,0.005,8320310.429
4015424.71,1.5,0.005,0.005,1270712.0
3588174.937,1.5,0.005,0.005,843462.227
23379012.44,1.5,0.005,0.005,20634299.73
14510496.335,1.5,0.005,0.005,11765783.625
35817000.38,1.5,0.005,0.005,33072287.67
4126711.31,1.5,0.005,0.005,1381998.6
3243219.933,1.5,0.005,0.005,498507.223
13317637.438,1.5,0.005,0.005,10572924.728
7564382.753,1.5,0.005,0.005,4819670.043
4019482.254,1.5,0.005,0.005,1274769.544
26398187.92,1.5,0.005,0.005,23653475.21
19355984.962,1.5,0.005,0.005,16611272.252
16011349.83,1.5,0.005,0.005,13266637.12
4313453.83,1.5,0.005,0.005,1568741.12
3923713.239,1.5,0.005,0.005,1179000.529
19598937.129,1.5,0.005,0.005,16854224.419
5877309.123,1.5,0.005,0.005,3132596.413
35743646.244,1.5,0.005,0.005,32998933.534
3726479.175,1.5,0.005,0.005,981766.465
5067704.135,1.5,0.005,0.005,2322991.425
9519241.765,1.5,0.005,0.005,6774529.055
7927461.351,1.5,0.005,0.005,5182748.641
67407769.222,1.5,0.005,0.005,64663056.512
25396147.57,1.5,0.005,0.005,22651434.86
5279831.402,1.5,0.005,0.005,2535118.692
4793714.275,1.5,0.005,0.005,2049001.565
11239964.445,1.5,0.005,0.005,8495251.735
7083782.788,1.5,0.005,0.005,4339070.078
7161603.98,1.5,0.005,0.005,4416891.27
7995293.47,1.5,0.005,0.005,5250580.76
6124478.445,1.5,0.005,0.005,3379765.735
8462184.604,1.5,0.005,0.005,5717471.894
59426989.471,1.5,0.005,0.005,56682276.761
6991136.977,1.5,0.005,0.005,4246424.267
4431412.426,1.5,0.005,0.005,1686699.716
133346637.37,1.5,0.005,0.005,130601924.66
7093750.2,1.5,0.005,0.005,4349037.49
4451053.85,1.5,0.005,0.005,1706341.14
10305566.111,1.5,0.005,0.005,7560853.401
10589744.735,1.5,0.005,0.005,7845032.025
40934840.142,1.5,0.005,0.005,38190127.432
5182119.154,1.5,0.005,0.005,2437406.444
4344043.824,1.5,0.005,0.005,1599331.114
6928098.2,1.5,0.005,0.005,4183385.49
11927097.315,1.5,0.005,0.005,9182384.605
8242948.515,1.5,0.005,0.005,5498235.805
4216406.615,1.5,0.005,0.005,1471693.905
6485815.44,1.5,0.005,0.005,3741102.73
6352713.337,1.5,0.005,0.005,3608000.627
12550842.66,1.5,0.005,0.005,9806129.95
13663894.553,1.5,0.005,0.005,10919181.843
12906532.974,1.5,0.005,0.005,10161820.264
4346725.331,1.5,0.005,0.005,1602012.621
12795125.892,1.5,0.005,0.005,10050413.182
8399823.878,1.5,0.005,0.005,5655111.168
28722832.448,1.5,0.005,0.005,25978119.738
9762178.83,1.5,0.005,0.005,7017466.12
141074310.3,1.5,0.005,0.005,138329597.59
11555473.284,1.5,0.005,0.005,8810760.574
19265762.681,1.5,0.005,0.005,16521049.971
5474897.921,1.5,0.005,0.005,2730185.211
14283545.657,1.5,0.005,0.005,11538832.947
24105521.768,1.5,0.005,0.005,21360809.058
4448737.856,1.5,0.005,0.005,1704025.146
12890856.468,1.5,0.005,0.005,10146143.758
8003475.642,1.5,0.005,0.005,5258762.932
41502554.81,1.5,0.005,0.005,38757842.1
14587096.859,1.5,0.005,0.005,11842384.149
11301317.615,1.5,0.005,0.005,8556604.905
4164232.635,1.5,0.005,0.005,1419519.925
4728460.45,1.5,0.005,0.005,1983747.74
4306253.652,1.5,0.005,0.005,1561540.942
6639104.825,1.5,0.005,0.005,3894392.115
8244486.716,1.5,0.005,0.005,5499774.006
6617378.787,1.5,0.005,0.005,3872666.077
7703244.694,1.5,0.005,0.005,4958531.984
8334326.005,1.5,0.005,0.005,5589613.295
9229603.385,1.5,0.005,0.005,6484890.675
5279266.605,1.5,0.005,0.005,2534553.895
5013930.215,1.5,0.005,0.005,2269217.505
18346013.79,1.5,0.005,0.005,15601301.08
17848296.793,1.5,0.005,0.005,15103584.083
60864786.011,1.5,0.005,0.005,58120073.301
60812502.59,1.5,0.005,0.005,58067789.88
4892277.415,1.5,0.005,0.005,2147564.705
6527489.824,1.5,0.005,0.005,3782777.114
44509154.332,1.5,0.005,0.005,41764441.622
9754085.726,1.5,0.005,0.005,7009373.016
7259606.895,1.5,0.005,0.005,4514894.185
12787402.315,1.5,0.005,0.005,10042689.605
4709492.57,1.5,0.005,0.005,1964779.86
17578500.805,1.5,0.005,0.005,14833788.095
6101643.13,1.5,0.005,0.005,3356930.42
15343981.498,1.5,0.005,0.005,12599268.788
5924416.185,1.5,0.005,0.005,3179703.475
50116967.595,1.5,0.005,0.005,47372254.885
7115301.095,1.5,0.005,0.005,4370588.385
23839003.871,1.5,0.005,0.005,21094291.161
67731759.553,1.5,0.005,0.005,64987046.843
4961554.625,1.5,0.005,0.005,2216841.915
5148166.074,1.5,0.005,0.005,2403453.364
8965542.442,1.5,0.005,0.005,6220829.732
8509146.08,1.5,0.005,0.005,5764433.37
4933098.644,1.5,0.005,0.005,2188385.934
27572085.57,1.5,0.005,0.005,24827372.86
6918837.828,1.5,0.005,0.005,4174125.118
91475440.605,1.5,0.005,0.005,88730727.895
3830932.535,1.5,0.005,0.005,1086219.825
9464381.09,1.5,0.005,0.005,6719668.38
8947381.205,1.5,0.005,0.005,6202668.495
135168780.184,1.5,0.005,0.005,132424067.474
12337693.52,1.5,0.005,0.005,9592980.81
